listing-location,price,bed,bath,listing-floorarea,harga_permeter_persegi,price_formatted,district,sub-district,area
"Jl. Amarine, BSD, Tangerang Selatan, Banten",1700000000.0,2.0,2.0,68.0,28333333.0,"1,700,000,000",,,BSD
"Bintaro, Tangerang Selatan, Banten",4900000000.0,5.0,4.0,220.0,40833333.0,"4,900,000,000",,Bintaro,Bintaro
"BSD, Tangerang Selatan, Banten",1950000000.0,4.0,3.0,155.0,14444444.0,"1,950,000,000",,,BSD
"Bintaro, Tangerang Selatan, Banten",1200000000.0,3.0,2.0,64.0,20000000.0,"1,200,000,000",,Bintaro,Bintaro
"Bintaro, Tangerang Selatan, Banten",3000000000.0,5.0,4.0,160.0,25000000.0,"3,000,000,000",,Bintaro,Bintaro
"Jalan Mujair 1, Ciputat, Tangerang Selatan, Banten",600.0,3.0,2.0,55.0,10.0,600,Ciputat,Ciputat,
"BSD, Tangerang Selatan, Banten",4000000000.0,5.0,5.0,275.0,19230769.0,"4,000,000,000",,,BSD
"The Green BSD City Tangerang Selatan, BSD, Tangerang Selatan, Banten",4200000000.0,4.0,3.0,157.0,27450980.0,"4,200,000,000",,,BSD
"Bintaro, Tangerang Selatan, Banten",1500000000.0,3.0,2.0,94.0,21126761.0,"1,500,000,000",,Bintaro,Bintaro
"Jalan Muncul Muncul, Kranggan, Kec. Setu, BSD, Tangerang Selatan, Banten",1450000000.0,3.0,3.0,126.0,11068702.0,"1,450,000,000",Setu,,BSD
"The Icon Cosmo BSD City tangerang Selatan, BSD, Tangerang Selatan, Banten",6850000000.0,6.0,5.0,405.0,28781513.0,"6,850,000,000",,,BSD
"Nusa Loka Taman Crysant 1 BSD, BSD, Tangerang Selatan, Banten",2000000000.0,4.0,3.0,140.0,11111111.0,"2,000,000,000",,,BSD
"Nusa Loka Taman Crysant 1 BSD, BSD, Tangerang Selatan, Banten",2000000000.0,4.0,3.0,140.0,11111111.0,"2,000,000,000",,,BSD
"Grand Akasia Residence, Pamulang, Tangerang Selatan, Banten",1287000000.0,3.0,2.0,84.0,10906780.0,"1,287,000,000",Pamulang,,Pamulang
"Serpong, Tangerang Selatan, Banten",744000000.0,2.0,1.0,40.0,10333333.0,"744,000,000",Serpong,Serpong,Serpong
"jalan wortel,BSD City, BSD, Tangerang Selatan, Banten",3000000000.0,4.0,3.0,210.0,12000000.0,"3,000,000,000",,,BSD
"Bintaro, Tangerang Selatan, Banten",1500000000.0,4.0,4.0,120.0,18518519.0,"1,500,000,000",,Bintaro,Bintaro
"Pamulang, Tangerang Selatan, Banten., Pamulang, Tangerang Selatan, Banten",935000000.0,3.0,2.0,80.0,11000000.0,"935,000,000",Pamulang,,Pamulang
"Bintaro, Tangerang Selatan, Banten",1500000000.0,4.0,3.0,88.0,20000000.0,"1,500,000,000",,Bintaro,Bintaro
"Bintaro, Tangerang Selatan, Banten",2249000000.0,4.0,3.0,144.0,17570312.0,"2,249,000,000",,Bintaro,Bintaro
"Cucur, Bintaro, Tangerang Selatan, Banten",1175000000.0,2.0,1.0,50.0,13055556.0,"1,175,000,000",,Bintaro,Bintaro
"Jl. Dewi Sartika, Ciputat, Tangerang Selatan, Banten",1100000000.0,3.0,3.0,85.0,18333333.0,"1,100,000,000",Ciputat,Ciputat,
"Jl bukit indah, Ciputat, Tangerang Selatan, Banten",720000000.0,2.0,1.0,54.0,10285714.0,"720,000,000",Ciputat,Ciputat,
"BSD, Tangerang Selatan, Banten",13000000000.0,9.0,7.0,1000.0,17015707.0,"13,000,000,000",,,BSD
"Jalan raya pondok cabe, Ciputat, Tangerang Selatan, Banten",1200000000.0,3.0,2.0,75.0,13333333.0,"1,200,000,000",Ciputat,Ciputat,
"Jl. Ir.sukarno,Curug Sangereng,gading Serpong, BSD, Tangerang Selatan, Banten",2670599000.0,3.0,3.0,120.0,27818740.0,"2,670,599,000",Serpong,Serpong,BSD
"Ciputat Timur, Tangerang Selatan, Banten",3250000000.0,4.0,3.0,183.0,23897059.0,"3,250,000,000",Ciputat,Ciputat,
"Bintaro, Tangerang Selatan, Banten",1300000.0,3.0,2.0,53.0,14444.0,"1,300,000",,Bintaro,Bintaro
"Jalur Pipa Gas, Serua, Ciputat, Ciputat, Tangerang Selatan, Banten",768000000.0,2.0,2.0,55.0,12800000.0,"768,000,000",Ciputat,Ciputat,
"Pamulang, Tangerang Selatan, Banten",1350000000.0,3.0,2.0,114.0,9574468.0,"1,350,000,000",Pamulang,,Pamulang
"BSD, Tangerang Selatan, Banten",6500000000.0,4.0,4.0,350.0,21311475.0,"6,500,000,000",,,BSD
"Cirendeu, Ciputat Timur, Tangerang Selatan, Banten",3200000000.0,4.0,4.0,220.0,10738255.0,"3,200,000,000",Ciputat,Ciputat,Cirendeu
"Ciputat Timur, Tangerang Selatan, Banten",3000000000.0,4.0,4.0,230.0,18750000.0,"3,000,000,000",Ciputat,Ciputat,
"Ciputat Timur, Tangerang Selatan, Banten",1500000000.0,2.0,2.0,100.0,10000000.0,"1,500,000,000",Ciputat,Ciputat,
"jln.lele 5, Pamulang, Tangerang Selatan, Banten",899000000.0,3.0,2.0,65.0,14983333.0,"899,000,000",Pamulang,,Pamulang
"Ciputat, Tangerang Selatan, Banten",900000000.0,2.0,2.0,40.0,13636364.0,"900,000,000",Ciputat,Ciputat,
"Lestari, Pamulang, Tangerang Selatan, Banten",881000000.0,3.0,2.0,60.0,13149254.0,"881,000,000",Pamulang,,Pamulang
"Serpong Utara, Tangerang Selatan, Banten",1050000000.0,3.0,2.0,130.0,11666667.0,"1,050,000,000",Serpong,Serpong Utara,Serpong
"jln Lestari Pamulang, Pamulang, Tangerang Selatan, Banten",880000000.0,3.0,3.0,67.0,14666667.0,"880,000,000",Pamulang,,Pamulang
"Villa Bintaro Indah, Bintaro, Tangerang Selatan, Banten",2800000000.0,3.0,2.0,150.0,12727273.0,"2,800,000,000",,Bintaro,Bintaro
"BSD, Tangerang Selatan, Banten",2049999999.9999998,3.0,3.0,100.0,24404762.0,"2,050,000,000",,,BSD
"jln kh ahmad sayani tanah sareal, Pondok Aren, Tangerang Selatan, Banten",640000000.0,3.0,2.0,60.0,10666667.0,"640,000,000",Pondok Aren,Pondok Aren,
"Jalan. Amd pamulang, Setu, Tangerang Selatan, Banten",900000000.0,3.0,2.0,72.0,15000000.0,"900,000,000",Pamulang,,Pamulang
"Jl. Karya Utama ( Jl.Elang ) Area Sektor IX, Bintaro, Tangerang Selatan, Banten",6500000000.0,4.0,4.0,250.0,12500000.0,"6,500,000,000",,Bintaro,Bintaro
"Ciputat, Tangerang Selatan, Banten",2700000000.0,4.0,2.0,184.0,13500000.0,"2,700,000,000",Ciputat,Ciputat,
"Bintaro Jaya, Bintaro, Tangerang Selatan, Banten",1975000000.0,3.0,3.0,100.0,25649351.0,"1,975,000,000",,Bintaro,Bintaro
"Discovery Flamine, Bintaro, Tangerang Selatan, Banten",3750000000.0,5.0,4.0,220.0,23437500.0,"3,750,000,000",,Bintaro,Bintaro
"Bintaro, Tangerang Selatan, Banten",2300000000.0,4.0,4.0,84.0,20909091.0,"2,300,000,000",,Bintaro,Bintaro
"Pondok Aren, Tangerang Selatan, Banten",1400000000.0,3.0,2.0,110.0,10606061.0,"1,400,000,000",Pondok Aren,Pondok Aren,
"Alam Sutera, Tangerang Selatan, Banten",6500000000.0,5.0,4.0,237.0,16331658.0,"6,500,000,000",,,Alam Sutera
"Lengkong wetan serpong bsd, BSD, Tangerang Selatan, Banten",1200000000.0,3.0,2.0,69.0,20000000.0,"1,200,000,000",Serpong,Serpong,BSD
"Bintaro, Tangerang Selatan, Banten",1500000000.0,3.0,2.0,94.0,21126761.0,"1,500,000,000",,Bintaro,Bintaro
"Bintaro, Tangerang Selatan, Banten",2750000000.0,2.0,2.0,150.0,20370370.0,"2,750,000,000",,Bintaro,Bintaro
"Bintaro, Tangerang Selatan, Banten",1900000000.0,3.0,2.0,115.0,26760563.0,"1,900,000,000",,Bintaro,Bintaro
"Vinaya  Terrace Bintaro, Bintaro, Tangerang Selatan, Banten",2554000000.0,3.0,3.0,143.0,16477419.0,"2,554,000,000",,Bintaro,Bintaro
"Serpong, Tangerang Selatan, Banten",900000000.0,3.0,2.0,72.0,15000000.0,"900,000,000",Serpong,Serpong,Serpong
"Bintaro, Tangerang Selatan, Banten",1288500000.0,3.0,2.0,72.0,18407143.0,"1,288,500,000",,Bintaro,Bintaro
"Bintaro, Tangerang Selatan, Banten",3800000000.0,4.0,4.0,154.0,19587629.0,"3,800,000,000",,Bintaro,Bintaro
"Pondok Aren, Tangerang Selatan, Banten",1580000000.0,3.0,2.0,132.0,26333333.0,"1,580,000,000",Pondok Aren,Pondok Aren,
"Puri Delima Asri, Ciputat Timur, Tangerang Selatan, Banten",4500000000.0,3.0,2.0,202.0,10227273.0,"4,500,000,000",Ciputat,Ciputat,
"Bintaro, Tangerang Selatan, Banten",1200000000.0,3.0,2.0,64.0,20000000.0,"1,200,000,000",,Bintaro,Bintaro
"Ciputat, Tangerang Selatan, Banten",795050000.0,2.0,1.0,55.0,12046212.0,"795,050,000",Ciputat,Ciputat,
"Bintaro, Tangerang Selatan, Banten",3300000000.0,4.0,4.0,173.0,24264706.0,"3,300,000,000",,Bintaro,Bintaro
"Pondok Aren, Tangerang Selatan, Banten",1288500000.0,3.0,2.0,72.0,18407143.0,"1,288,500,000",Pondok Aren,Pondok Aren,
"Bintaro, Tangerang Selatan, Banten",1288500000.0,3.0,2.0,72.0,18407143.0,"1,288,500,000",,Bintaro,Bintaro
"Bintaro, Tangerang Selatan, Banten",1580000000.0,3.0,2.0,132.0,26333333.0,"1,580,000,000",,Bintaro,Bintaro
"Pamulang, Tangerang Selatan, Banten",795000000.0,2.0,1.0,55.0,12045455.0,"795,000,000",Pamulang,,Pamulang
"Discovery Conserva, Bintaro, Tangerang Selatan, Banten",3300000000.0,4.0,3.0,134.0,27500000.0,"3,300,000,000",,Bintaro,Bintaro
"Gading Serpong, Tangerang Selatan, Banten",3800000000.0,4.0,3.0,210.0,26388889.0,"3,800,000,000",Serpong,Serpong,Gading Serpong
"Bintaro, Tangerang Selatan, Banten",1500000000.0,3.0,2.0,94.0,21126761.0,"1,500,000,000",,Bintaro,Bintaro
"Bintaro, Tangerang Selatan, Banten",4500000000.0,5.0,4.0,300.0,28846154.0,"4,500,000,000",,Bintaro,Bintaro
"Bintaro, Tangerang Selatan, Banten",2300000000.0,3.0,3.0,100.0,12777778.0,"2,300,000,000",,Bintaro,Bintaro
"Bintaro, Pondok Aren, Tangerang Selatan, Banten",600000000.0,3.0,2.0,55.0,10000000.0,"600,000,000",Pondok Aren,Pondok Aren,Bintaro
"Kencana raya, Serpong, Tangerang Selatan, Banten",871875000.0,3.0,2.0,55.0,14531250.0,"871,875,000",Serpong,Serpong,Serpong
"Kom.Arinda Permai 1, Bintaro, Tangerang Selatan, Banten",2350000000.0,3.0,3.0,150.0,8422939.0,"2,350,000,000",,Bintaro,Bintaro
"JL.Pinus, Pamulang, Tangerang Selatan, Banten",3000000000.0,4.0,3.0,256.0,6185567.0,"3,000,000,000",Pamulang,,Pamulang
"Ciputat Raya, Ciputat, Tangerang Selatan, Banten",14500000000.0,2.0,2.0,600.0,36159601.0,"14,500,000,000",Ciputat,Ciputat,
"jalan pln, Pondok Aren, Tangerang Selatan, Banten",2500000000.0,4.0,4.0,187.0,12500000.0,"2,500,000,000",Pondok Aren,Pondok Aren,
"BSD, Tangerang Selatan, Banten",3100000000.0,4.0,3.0,160.0,21527778.0,"3,100,000,000",,,BSD
"Bintaro, Tangerang Selatan, Banten",14500000000.0,6.0,5.0,350.0,44891641.0,"14,500,000,000",,Bintaro,Bintaro
"BIntaro, Bintaro, Tangerang Selatan, Banten",600000000.0,3.0,2.0,50.0,10000000.0,"600,000,000",,Bintaro,Bintaro
"Perumahan Pamulang Lestari Blok I Pamulang, Pamulang, Tangerang Selatan, Banten",560000000.0,3.0,2.0,54.0,7777778.0,"560,000,000",Pamulang,,Pamulang
"Bintaro, Tangerang Selatan, Banten",2300000000.0,5.0,2.0,310.0,10952381.0,"2,300,000,000",,Bintaro,Bintaro
"Parigi Bintaro, Sektor 9, Bintaro, Tangerang Selatan, Banten",3000000000.0,4.0,5.0,250.0,20000000.0,"3,000,000,000",,Bintaro,Bintaro
"Jadeite, BSD, BSD, Tangerang Selatan, Banten",6000000000.0,4.0,4.0,225.0,30000000.0,"6,000,000,000",,,BSD
"Bintaro, Tangerang Selatan, Banten",4000000000.0,7.0,5.0,200.0,29629630.0,"4,000,000,000",,Bintaro,Bintaro
"Ciputat Timur, Tangerang Selatan, Banten",1580000000.0,3.0,2.0,132.0,26333333.0,"1,580,000,000",Ciputat,Ciputat,
"Bintaro, Tangerang Selatan, Banten",3300000000.0,5.0,4.0,150.0,24444444.0,"3,300,000,000",,Bintaro,Bintaro
"Rumah Residence One, Serpong Utara, Tangerang Selatan, Banten",1600000000.0,2.0,2.0,100.0,17777778.0,"1,600,000,000",Serpong,Serpong Utara,Serpong
"BSD, Tangerang Selatan, Banten",9900000000.0,6.0,6.0,527.0,22448980.0,"9,900,000,000",,,BSD
"Bintaro, Tangerang Selatan, Banten",1500000000.0,4.0,4.0,120.0,18518519.0,"1,500,000,000",,Bintaro,Bintaro
"Jl Raya Terusan PHG, Curug Singereng, Serpong, Serpong, Tangerang Selatan, Banten",3500000000.0,4.0,3.0,200.0,21604938.0,"3,500,000,000",Serpong,Serpong,Serpong
"Serpong City Paradise Cluster rasamala, Serpong, Tangerang Selatan, Banten",920000000.0,2.0,2.0,99.0,12266667.0,"920,000,000",Serpong,Serpong,Serpong
"Bintaro, Tangerang Selatan, Banten",4200000000.0,6.0,5.0,290.0,18666667.0,"4,200,000,000",,Bintaro,Bintaro
"BSD, Tangerang Selatan, Banten",7500000000.0,4.0,5.0,262.0,49019608.0,"7,500,000,000",,,BSD
"Alam Sutera, Tangerang Selatan, Banten",12300000000.0,6.0,7.0,750.0,36498516.0,"12,300,000,000",,,Alam Sutera
"Bintaro, Tangerang Selatan, Banten",4400000000.0,4.0,3.0,149.0,25287356.0,"4,400,000,000",,Bintaro,Bintaro
"Ciputat, Tangerang Selatan, Banten",2000000000.0,3.0,2.0,74.0,22222222.0,"2,000,000,000",Ciputat,Ciputat,
"Jl Kana 3 BSD, Lengkong Gudang, Serpong, Serpong, Tangerang Selatan, Banten",5500000000.0,7.0,4.0,300.0,15068493.0,"5,500,000,000",Serpong,Lengkong Gudang,BSD
"BSD, Tangerang Selatan, Banten",2700000000.0,4.0,4.0,114.0,18750000.0,"2,700,000,000",,,BSD
"BSD, Tangerang Selatan, Banten",3500000000.0,4.0,4.0,171.0,25925926.0,"3,500,000,000",,,BSD
"BSD, Tangerang Selatan, Banten",5650000000.0,5.0,5.0,177.0,39236111.0,"5,650,000,000",,,BSD
"Jl.Palapa Sarua, Ciputat, Ciputat, Tangerang Selatan, Banten",1000000000.0,2.0,2.0,100.0,8547009.0,"1,000,000,000",Ciputat,Ciputat,
"Pondok Aren, Tangerang Selatan, Banten",1288500000.0,3.0,2.0,72.0,18407143.0,"1,288,500,000",Pondok Aren,Pondok Aren,
"Ciputat Timur, Tangerang Selatan, Banten",1580000000.0,3.0,2.0,132.0,26333333.0,"1,580,000,000",Ciputat,Ciputat,
"Pondok Aren, Tangerang Selatan, Banten",1580000000.0,3.0,2.0,132.0,26333333.0,"1,580,000,000",Pondok Aren,Pondok Aren,
"Alam Sutera, Tangerang Selatan, Banten",8300000000.000001,7.0,6.0,700.0,27666667.0,"8,300,000,000",,,Alam Sutera
"Cilosari Sektor 6 Bintaro Jaya Tangerang Selatan, Bintaro, Tangerang Selatan, Banten",2900000000.0,3.0,2.0,137.0,16111111.0,"2,900,000,000",,Bintaro,Bintaro
"Bintaro, Tangerang Selatan, Banten",3150000000.0,5.0,4.0,162.0,23333333.0,"3,150,000,000",,Bintaro,Bintaro
"Pamulang, Tangerang Selatan, Banten",1300000000.0,3.0,3.0,228.0,10483871.0,"1,300,000,000",Pamulang,,Pamulang
"Pamulang, Tangerang Selatan, Banten",668000000.0,2.0,1.0,46.0,11133333.0,"668,000,000",Pamulang,,Pamulang
"Jl Cilalung 3 Jombang, Ciputat, Tangerang Selatan, Ciputat, Tangerang Selatan, Banten",664440000.0,2.0,1.0,40.0,11074000.0,"664,440,000",Ciputat,Ciputat,
"Jalan Perkici, Bintaro, Tangerang Selatan, Banten",3000000000.0,8.0,5.0,200.0,19354839.0,"3,000,000,000",,Bintaro,Bintaro
"Jl bumi Foresta, BSD, Tangerang Selatan, Banten",850000000.0,2.0,2.0,70.0,18085106.0,"850,000,000",,,BSD
"Medang, Kabupaten Tangerang, Banten, BSD, Tangerang Selatan, Banten",2400000000.0,3.0,2.0,92.0,28571429.0,"2,400,000,000",,,BSD
"Bintaro, Tangerang Selatan, Banten",7000000000.0,6.0,4.0,318.0,22950820.0,"7,000,000,000",,Bintaro,Bintaro
"Ciputat Timur, Tangerang Selatan, Banten",2000000000.0,3.0,2.0,150.0,7692308.0,"2,000,000,000",Ciputat,Ciputat,
"Jalan Viktor, babakan dekat unpam 2, Serpong Utara, Tangerang Selatan, Banten",685000000.0,3.0,1.0,52.0,11416667.0,"685,000,000",Serpong,Serpong Utara,Serpong
"Bintaro, Tangerang Selatan, Banten",1200000000.0,3.0,2.0,64.0,20000000.0,"1,200,000,000",,Bintaro,Bintaro
"South city pondok cabe, Ciputat Timur, Tangerang Selatan, Banten",1850000000.0,4.0,3.0,200.0,10164835.0,"1,850,000,000",Ciputat,Ciputat,
"Jln. Visana The Savia Ciater Serpong, Serpong, Tangerang Selatan, Banten",2300000000.0,4.0,3.0,107.0,16428571.0,"2,300,000,000",Serpong,Serpong,Serpong
"Pamulang, Tangerang Selatan, Banten",600000000.0,2.0,1.0,70.0,7894737.0,"600,000,000",Pamulang,,Pamulang
"Bintaro, Tangerang Selatan, Banten",8400000000.0,7.0,5.0,343.0,24705882.0,"8,400,000,000",,Bintaro,Bintaro
"Ciputat, Tangerang Selatan, Banten",1580000000.0,3.0,2.0,132.0,26333333.0,"1,580,000,000",Ciputat,Ciputat,
"Ciputat Timur, Tangerang Selatan, Banten",1580000000.0,3.0,2.0,132.0,26333333.0,"1,580,000,000",Ciputat,Ciputat,
"Jl. Raya Prada Samlawi, Putat Nutug, Ciseeng, Serpong, Tangerang Selatan, Banten",466355000.0,2.0,1.0,36.0,6477153.0,"466,355,000",Serpong,Serpong,Serpong
"Jl Legoso, Ciputat, Ciputat Timur, Tangerang Selatan, Banten",2300000000.0,5.0,3.0,150.0,13529412.0,"2,300,000,000",Ciputat,Ciputat,
"Bintaro, Tangerang Selatan, Banten",1500000000.0,4.0,3.0,88.0,20000000.0,"1,500,000,000",,Bintaro,Bintaro
"BSD, Tangerang Selatan, Banten",2650000000.0,3.0,2.0,92.0,21031746.0,"2,650,000,000",,,BSD
"Bintaro, Tangerang Selatan, Banten",5300000000.0,4.0,4.0,230.0,28494624.0,"5,300,000,000",,Bintaro,Bintaro
"BSD, Tangerang Selatan, Banten",2400000000.0,5.0,2.0,200.0,18750000.0,"2,400,000,000",,,BSD
"BSD, Tangerang Selatan, Banten",6400000000.0,4.0,4.0,235.0,47058824.0,"6,400,000,000",,,BSD
"Bintaro, Tangerang Selatan, Banten",4099999999.9999995,5.0,3.0,230.0,23976608.0,"4,100,000,000",,Bintaro,Bintaro
"Bintaro, Tangerang Selatan, Banten",1580000000.0,3.0,2.0,132.0,26333333.0,"1,580,000,000",,Bintaro,Bintaro
"JL. Elang Bintaro Sektor 9, Bintaro, Tangerang Selatan, Banten",11000000000.0,6.0,4.0,750.0,12101210.0,"11,000,000,000",,Bintaro,Bintaro
"Bintaro, Tangerang Selatan, Banten",1500000000.0,4.0,3.0,88.0,20000000.0,"1,500,000,000",,Bintaro,Bintaro
"Ciputat, Tangerang Selatan, Banten",795050000.0,2.0,1.0,55.0,12046212.0,"795,050,000",Ciputat,Ciputat,
"jalan viktor, babakan dekat kampus unpam 2, Serpong, Tangerang Selatan, Banten",685000000.0,3.0,1.0,52.0,11416667.0,"685,000,000",Serpong,Serpong,Serpong
"Lombok tangsel, Bintaro, Tangerang Selatan, Banten",888888888.0,2.0,2.0,72.0,14814815.0,"888,888,888",,Bintaro,Bintaro
"Cihuni, Pagedangan, Tangerang, BSD, Tangerang Selatan, Banten",2988699000.0,3.0,2.0,132.0,26684812.0,"2,988,699,000",,,BSD
"Jalan Discovery Park Bintaro, Bintaro, Tangerang Selatan, Banten",4625000000.0,5.0,4.0,185.0,23717949.0,"4,625,000,000",,Bintaro,Bintaro
"Sektor 7 Bintaro Jaya, Bintaro, Tangerang Selatan, Banten",4350000000.0,4.0,4.0,200.0,21219512.0,"4,350,000,000",,Bintaro,Bintaro
"BSD, Tangerang Selatan, Banten",3999999000.0,3.0,3.0,130.0,24999994.0,"3,999,999,000",,,BSD
"Jl elang bintaro sek 9, Bintaro, Tangerang Selatan, Banten",11000000000.0,9.0,5.0,750.0,12101210.0,"11,000,000,000",,Bintaro,Bintaro
"Bintaro, Tangerang Selatan, Banten",1500000000.0,3.0,2.0,94.0,21126761.0,"1,500,000,000",,Bintaro,Bintaro
"Perumakan Lestari Cirendeu Ciputat, Ciputat, Tangerang Selatan, Banten",2200000000.0,4.0,4.0,170.0,16296296.0,"2,200,000,000",Ciputat,Ciputat,Cirendeu
"Rengas Ciputat Timur, Ciputat Timur, Tangerang Selatan, Banten",4000000000.0,6.0,3.0,300.0,7299270.0,"4,000,000,000",Ciputat,Ciputat,
"GADING SERPONG - TANGERANG, Gading Serpong, Tangerang Selatan, Banten",1075000001.0,3.0,3.0,62.0,22395833.0,"1,075,000,001",Serpong,Serpong,Gading Serpong
"Jl. Kebayoean residence bintaro tangrang selatan, Bintaro, Tangerang Selatan, Banten",6375000000.0,5.0,4.0,233.0,31250000.0,"6,375,000,000",,Bintaro,Bintaro
"Bintaro, Tangerang Selatan, Banten",998500000.0,3.0,2.0,70.0,16641667.0,"998,500,000",,Bintaro,Bintaro
"Bintaro, Tangerang Selatan, Banten",3500000000.0,5.0,4.0,250.0,17073171.0,"3,500,000,000",,Bintaro,Bintaro
"NUSA LOKA BSD CITY - TANGERANG SELATAN, BSD, Tangerang Selatan, Banten",1925000001.0,4.0,3.0,130.0,19642857.0,"1,925,000,001",,,BSD
"Curug Sangereng, Tangerang, gading serpong, BSD, Tangerang Selatan, Banten",1115250000.0,2.0,2.0,53.0,27881250.0,"1,115,250,000",Serpong,Serpong,BSD
"Bintaro, Tangerang Selatan, Banten",7500000000.0,4.0,3.0,360.0,8073197.0,"7,500,000,000",,Bintaro,Bintaro
"Jl. Discovery Park, Parigi, Kec. Pd. Aren, Bintaro, Tangerang Selatan, Banten",4750000000.0,4.0,3.0,158.0,24234694.0,"4,750,000,000",,Bintaro,Bintaro
"ANGGREK LOKA BSD CITY - TANGERANG SELATAN, BSD, Tangerang Selatan, Banten",15000000000.0,10.0,6.0,550.0,30000000.0,"15,000,000,000",,,BSD
"Alam Sutera, Tangerang Selatan, Banten",3000000000.0,3.0,3.0,97.0,23437500.0,"3,000,000,000",,,Alam Sutera
"Cluster Vineyard, BSD, Tangerang Selatan, Banten",4200000000.0,3.0,3.0,200.0,17872340.0,"4,200,000,000",,,BSD
"BSD, Tangerang Selatan, Banten",4200000000.0,4.0,4.0,200.0,17872340.0,"4,200,000,000",,,BSD
"CLUSTER SEVILLA BSD CITY - TANGERANG SELATAN, BSD, Tangerang Selatan, Banten",1900000000.0,2.0,2.0,73.0,16964286.0,"1,900,000,000",,,BSD
"CIPUTAT - TANGERANG SELATAN, Ciputat, Tangerang Selatan, Banten",1350000011.0,3.0,2.0,90.0,10975610.0,"1,350,000,011",Ciputat,Ciputat,
"Bintaro, Tangerang Selatan, Banten",1975000000.0,4.0,3.0,100.0,25320513.0,"1,975,000,000",,Bintaro,Bintaro
"Sektor 9 Bintaro Jaya, Bintaro, Tangerang Selatan, Banten",2700000000.0,6.0,4.0,200.0,18750000.0,"2,700,000,000",,Bintaro,Bintaro
"Bintaro jaya sektor 3, Bintaro, Tangerang Selatan, Banten",5900000000.0,4.0,3.0,300.0,16388889.0,"5,900,000,000",,Bintaro,Bintaro
"Bintaro, Tangerang Selatan, Banten",2850000000.0,4.0,2.0,210.0,19791667.0,"2,850,000,000",,Bintaro,Bintaro
"Medang, Pagedangan, gading serpong, BSD, Tangerang Selatan, Banten",1565800000.0,3.0,2.0,69.0,26096667.0,"1,565,800,000",Serpong,Serpong,BSD
"Jl Kana 3 BSD, Lengkong Gudang, Serpong, Serpong, Tangerang Selatan, Banten",13000000000.0,8.0,5.0,1000.0,17015707.0,"13,000,000,000",Serpong,Lengkong Gudang,BSD
"CIPUTAT BINTARO TANGERANG SELATAN, Bintaro, Tangerang Selatan, Banten",750000000.0,2.0,1.0,52.0,8241758.0,"750,000,000",Ciputat,Ciputat,Bintaro
"Jalan Puri Bintaro, Tangerang Selatan 15413, Bintaro, Tangerang Selatan, Banten",3200000000.0,4.0,3.0,200.0,14222222.0,"3,200,000,000",,Bintaro,Bintaro
"SUTERA ASRI BOULEVARD, Alam Sutera, Tangerang Selatan, Banten",12000000000.0,6.0,5.0,800.0,22429907.0,"12,000,000,000",,,Alam Sutera
"Cirendeu, Ciputat Timur, Tangerang Selatan, Banten",1800000000.0,3.0,3.0,110.0,23076923.0,"1,800,000,000",Ciputat,Ciputat,Cirendeu
"LYNDON DRIVE, BSD, Tangerang Selatan, Banten",16500000000.0,5.0,5.0,465.0,41666667.0,"16,500,000,000",,,BSD
"SUTERA SITARA JINGGA ORLANDA, Alam Sutera, Tangerang Selatan, Banten",11000000000.0,5.0,4.0,390.0,19298246.0,"11,000,000,000",,,Alam Sutera
"SUTERA FERONIA PARK, Alam Sutera, Tangerang Selatan, Banten",2800000000.0,4.0,4.0,180.0,23529412.0,"2,800,000,000",,,Alam Sutera
"Alam Sutera, Tangerang Selatan, Banten",2550000000.0,4.0,4.0,160.0,21428571.0,"2,550,000,000",,,Alam Sutera
"ONYX 5, Alam Sutera, Tangerang Selatan, Banten",7370000000.0,5.0,5.0,500.0,32043478.0,"7,370,000,000",,,Alam Sutera
"BSD, Tangerang Selatan, Banten",700000000.0,2.0,2.0,60.0,11666667.0,"700,000,000",,,BSD
"Bintaro, Tangerang Selatan, Banten",10750000000.0,4.0,4.0,450.0,18006700.0,"10,750,000,000",,Bintaro,Bintaro
"PALMYRA BOULEVARD, Alam Sutera, Tangerang Selatan, Banten",3950000000.0,4.0,4.0,161.0,21944444.0,"3,950,000,000",,,Alam Sutera
"Puri Bintaro, Bintaro, Tangerang Selatan, Banten",2750000000.0,3.0,2.0,120.0,27500000.0,"2,750,000,000",,Bintaro,Bintaro
"matera, Gading Serpong, Tangerang Selatan, Banten",6200000000.0,4.0,3.0,200.0,38271605.0,"6,200,000,000",Serpong,Serpong,Gading Serpong
"Pondok Jaya, Bintaro, Tangerang Selatan, Banten",1200000000.0,2.0,1.0,60.0,11214953.0,"1,200,000,000",,Pondok Jaya,Bintaro
"Serpong, Tangerang Selatan, Banten",998000000.0,3.0,2.0,70.0,16633333.0,"998,000,000",Serpong,Serpong,Serpong
"Gading Serpong, Tangerang Selatan, Banten",3700000000.0,3.0,3.0,234.0,22839506.0,"3,700,000,000",Serpong,Serpong,Gading Serpong
"BSD, Tangerang Selatan, Banten",10000000000.0,4.0,3.0,426.0,11723329.0,"10,000,000,000",,,BSD
"Gading Serpong, Tangerang Selatan, Banten",700000000.0,2.0,2.0,60.0,11666667.0,"700,000,000",Serpong,Serpong,Gading Serpong
"Bintaro, Tangerang Selatan, Banten",1300000000.0,2.0,1.0,80.0,13131313.0,"1,300,000,000",,Bintaro,Bintaro
