listing-location,price,bed,bath,listing-floorarea,harga_permeter_persegi,price_formatted,district,sub-district,area
"Sektor 9, Bintaro, Tangerang Selatan, Banten",3850000000.0,5.0,4.0,180.0,25163399.0,"3,850,000,000",,Bintaro,Bintaro
"Cluster Graha Raya Bintaro, Bintaro, Tangerang Selatan, Banten",4900000000.0,6.0,4.0,365.0,17013889.0,"4,900,000,000",,Bintaro,Bintaro
"Bintaro, Bintaro, Tangerang Selatan, Banten",675000000.0,2.0,1.0,50.0,8881579.0,"675,000,000",,Bintaro,Bintaro
"Graha Bintaro, Bintaro, Tangerang Selatan, Banten",1800000000.0,5.0,4.0,150.0,17142857.0,"1,800,000,000",,Bintaro,Bintaro
"Cluster Strozzi Symphonia Gading Serpong, BSD, Tangerang Selatan, Banten",2495000000.0,4.0,3.0,92.0,29702381.0,"2,495,000,000",Serpong,Serpong,BSD
"Serpong, Tangerang Selatan, Banten",1090000000.0,2.0,1.0,41.0,15138889.0,"1,090,000,000",Serpong,Serpong,Serpong
"jln Pandawa, Pamulang, Tangerang Selatan, Banten",900000000.0,3.0,3.0,69.0,10714286.0,"900,000,000",Pamulang,,Pamulang
"Pondok Benda, Pamulang, Tangerang Selatan, Banten",535000000.0,2.0,1.0,38.0,8916667.0,"535,000,000",Pamulang,Benda,Pamulang
"Pondok Benda, Pamulang, Tangerang Selatan, Banten",535000000.0,2.0,1.0,38.0,8916667.0,"535,000,000",Pamulang,Benda,Pamulang
"Pondok Benda, Pamulang, Tangerang Selatan, Banten",535000000.0,2.0,1.0,38.0,8916667.0,"535,000,000",Pamulang,Benda,Pamulang
"Serpong paradise city, Serpong, Tangerang Selatan, Banten",500000000.0,3.0,2.0,55.0,8333333.0,"500,000,000",Serpong,Serpong,Serpong
"Jl Jombang Raya Bintaro Ciputat, Ciputat, Tangerang Selatan, Banten",1430000000.0,3.0,2.0,94.0,20140845.0,"1,430,000,000",Ciputat,Ciputat,Bintaro
"lele 5, Pamulang, Tangerang Selatan, Banten",899000000.0,3.0,2.0,65.0,14983333.0,"899,000,000",Pamulang,,Pamulang
"BSD, BSD, Tangerang Selatan, Banten",5200000000.0,4.0,4.0,185.0,24761905.0,"5,200,000,000",,,BSD
"Alegria Park, Bsd City, BSD, Tangerang Selatan, Banten",2200000000.0,3.0,2.0,130.0,20952381.0,"2,200,000,000",,,BSD
"BSD, Tangerang Selatan, Banten",1925000000.0,3.0,2.0,130.0,19642857.0,"1,925,000,000",,,BSD
"Jalan Pondok Aren, Pondok Aren, Tangerang Selatan, Banten",890000000.0,2.0,1.0,50.0,11866667.0,"890,000,000",Pondok Aren,Pondok Aren,
"Foresta bsd, BSD, Tangerang Selatan, Banten",4099999999.9999995,3.0,3.0,255.0,20500000.0,"4,100,000,000",,,BSD
"Bsd, BSD, Tangerang Selatan, Banten",500000000.0,3.0,2.0,55.0,8333333.0,"500,000,000",,,BSD
"Bintaro, Tangerang Selatan, Banten",1550000000.0,3.0,2.0,90.0,16145833.0,"1,550,000,000",,Bintaro,Bintaro
"Bintaro, Bintaro, Tangerang Selatan, Banten",700000000.0,2.0,1.0,75.0,7777778.0,"700,000,000",,Bintaro,Bintaro
"Ciputat Timur, Tangerang Selatan, Banten",2900000000.0,5.0,3.0,300.0,14500000.0,"2,900,000,000",Ciputat,Ciputat,
